epoch,train_loss,test_loss,train_acc,train_acc_top_k_5,val_acc,val_acc_top_k_5
0,4.925517,73.38944,11.509038,26.459946,0.09990409,0.55346864
1,3.6657443,45.6645,26.211912,49.03253,0.11588874,0.5274936
2,3.2709043,25.010006,32.35271,56.060463,0.14022435,0.66907054
3,3.0599449,20.70023,35.91986,59.824863,0.17982736,0.84319055
4,2.9331381,15.518491,38.038242,62.050747,0.25775257,0.9610774
5,2.8535829,12.410648,39.51564,63.44804,0.55488783,2.0452724
6,2.7959678,12.253974,40.53999,64.449066,0.9351023,3.3927429
7,2.7582867,8.02919,41.19779,65.011475,2.7403846,9.885818
8,2.727215,5.9736404,41.79469,65.63718,8.559783,21.409447
9,2.7058132,5.0948443,42.19749,65.93483,13.892663,30.920317
10,2.6890213,4.43144,42.53473,66.24445,18.840145,39.322918
11,2.6760485,3.8055847,42.673126,66.45106,25.417599,48.98897
12,2.663002,3.9023287,42.95244,66.682304,24.462517,46.900974
13,2.6568377,3.3898249,43.05649,66.86057,30.995592,55.572918
14,2.6531687,3.050841,43.19782,66.87328,36.20724,61.061382
15,2.6450288,3.0126243,43.269917,66.99047,36.38622,61.570515
16,2.642943,2.813279,43.34072,67.01541,39.464115,64.81178
17,2.6408985,2.7562506,43.349464,67.068245,40.323288,65.97666
18,2.6397436,2.616562,43.43018,67.08399,42.70633,68.36138
19,2.6352434,2.5823762,43.522415,67.18391,43.21851,68.87788
20,2.6303654,2.500138,43.63423,67.28406,45.024776,70.132675
21,2.6268513,2.5149808,43.711445,67.3283,44.775642,69.815704
22,2.6238713,2.408481,43.74797,67.37337,46.579285,71.72914
23,2.620324,2.457515,43.84264,67.474014,45.59295,70.94551
24,2.6139529,2.4255338,43.934464,67.51404,46.475384,71.38547
25,2.6093206,2.4136333,44.01255,67.61364,46.691177,71.46739
26,2.6050384,2.3580484,44.146477,67.70651,47.427883,72.42789
27,2.5999165,2.3636613,44.18356,67.759926,47.588314,72.33057
28,2.5933564,2.3185933,44.385147,67.868385,48.35758,73.089836
29,2.5894358,2.3376026,44.43804,67.91301,47.960735,72.68229
30,2.5815187,2.3032627,44.59166,68.07668,48.377556,73.24968
31,2.5785813,2.3082898,44.647877,68.12066,48.697918,73.23718
32,2.5740592,2.283569,44.676964,68.196106,48.996964,73.39754
33,2.5675478,2.294445,44.870586,68.31503,48.7492,73.475464
34,2.5610852,2.313852,44.93647,68.45693,48.38742,73.1851
35,2.556743,2.2802238,45.03863,68.511955,49.168797,73.62532
36,2.5519319,2.264291,45.156296,68.57569,49.422554,73.849106
37,2.5461116,2.2474933,45.274883,68.65525,49.539265,74.26683
38,2.5424194,2.2589102,45.356995,68.749535,49.496483,74.11884
39,2.5361826,2.2506163,45.437687,68.872925,49.467148,74.25481
40,2.5335855,2.2602327,45.452934,68.90878,49.388588,73.8531
41,2.526868,2.2344685,45.601116,68.991394,49.860134,74.31266
42,2.5230582,2.2510357,45.706013,69.07811,49.42508,73.90826
43,2.515951,2.2127988,45.845825,69.25498,50.461555,74.78421
44,2.5109355,2.2266834,45.882866,69.27947,49.972027,74.442535
45,2.5091333,2.219704,45.960106,69.31572,50.378605,74.551285
46,2.5061023,2.210768,46.009304,69.362274,50.493526,74.64034
47,2.5013647,2.2102227,46.1327,69.4592,50.484776,74.72156
48,2.4960482,2.20671,46.185066,69.54405,50.57345,74.80618
49,2.4913728,2.1970546,46.320835,69.623985,50.69533,75.09191
50,2.4893272,2.1982853,46.322662,69.64465,50.496796,75.09215
51,2.486204,2.1973982,46.41741,69.75969,50.737293,74.97203
52,2.4822278,2.2080517,46.473835,69.767,50.561462,74.754234
53,2.478024,2.2062986,46.565,69.848434,50.65705,74.72156
54,2.4740708,2.1778157,46.62887,69.954506,51.084957,75.16584
55,2.4722204,2.1688647,46.6297,69.92999,50.96755,75.29047
56,2.4688003,2.1754944,46.772816,70.01937,50.987053,75.29372
57,2.4645195,2.1839693,46.774944,70.081635,50.747284,75.18382
58,2.4603975,2.1718423,46.929096,70.13163,50.98758,75.27043
59,2.4578624,2.1675963,46.933144,70.15313,51.200848,75.555466
60,2.455684,2.181612,47.038116,70.244286,51.027016,75.251755
61,2.4519742,2.1589823,47.0757,70.30204,51.21194,75.54487
62,2.4506063,2.1520383,47.12436,70.307816,51.61445,75.607414
63,2.4467134,2.1587381,47.27031,70.38666,51.33213,75.59295
64,2.4415927,2.1610327,47.262424,70.466644,51.284767,75.44757
65,2.4409552,2.1669724,47.351418,70.48127,51.098946,75.44957
66,2.4380774,2.1614466,47.35327,70.519554,51.352165,75.66306
67,2.431756,2.1466653,47.5173,70.64848,51.604458,75.887146
68,2.4314144,2.1524408,47.517014,70.62594,51.532528,75.68534
69,2.4280574,2.1525617,47.611607,70.68541,51.42428,75.63902
70,2.4232364,2.1441507,47.66921,70.78025,51.72634,75.92711
71,2.4210885,2.1381853,47.696133,70.81871,51.764824,75.89343
72,2.4182491,2.1256404,47.80098,70.85144,52.13595,76.05898
73,2.4127128,2.1310492,47.90678,70.935555,51.91416,76.007034
74,2.4133372,2.1196182,47.876934,70.970024,52.241585,76.123795
75,2.4105535,2.1368082,47.92286,71.00212,51.746323,76.03101
76,2.4078062,2.1255286,47.986153,71.03608,52.233856,76.216835
77,2.4032397,2.14124,48.0941,71.14621,51.596554,75.77924
78,2.4005506,2.1273706,48.120163,71.21597,51.976105,76.13691
79,2.3969407,2.1221542,48.19465,71.21467,51.995193,76.07973
80,2.3932803,2.1082494,48.332214,71.258194,52.309784,76.29276
81,2.3914604,2.1179743,48.302372,71.367905,52.225864,76.10893
82,2.3905907,2.1199684,48.35321,71.32368,52.099358,76.23598
83,2.3865223,2.1002488,48.441715,71.3797,52.477623,76.51255
84,2.3822374,2.1110992,48.506416,71.51052,52.58152,76.20284
85,2.3819728,2.1036954,48.530453,71.509895,52.333733,76.378204
86,2.3787127,2.0936263,48.630394,71.544876,52.847267,76.5645
87,2.373462,2.0949247,48.682644,71.60894,52.47596,76.49639
88,2.3713264,2.0820186,48.7727,71.712395,52.903214,76.69837
89,2.3711958,2.092477,48.786995,71.65842,52.63547,76.554504
90,2.367747,2.0875986,48.83554,71.72661,52.76843,76.672676
91,2.3638375,2.0868518,48.927322,71.81405,52.817295,76.526535
92,2.362848,2.0838907,48.91165,71.81754,52.69741,76.7723
93,2.3590856,2.0963213,48.98609,71.898415,52.391827,76.60256
94,2.355912,2.0816662,49.00849,71.92346,52.983135,76.694374
95,2.352276,2.0784123,49.139984,71.95228,52.932693,76.78486
96,2.348093,2.0787475,49.189014,72.035774,52.963154,76.75632
97,2.3463411,2.070376,49.22874,72.11832,53.15697,76.89018
98,2.34475,2.0549703,49.26082,72.097824,53.285255,77.21154
99,2.3408196,2.0626037,49.36051,72.192245,53.250877,77.05203
100,2.3373017,2.0631213,49.380543,72.271164,53.21891,77.02206
101,2.3330882,2.0579846,49.51695,72.254074,53.391426,77.17147
102,2.332537,2.0515966,49.528362,72.31214,53.36277,77.17591
103,2.3265853,2.0471141,49.63006,72.39261,53.477566,77.22957
104,2.325185,2.049627,49.690716,72.4109,53.652493,77.04404
105,2.3211195,2.0478609,49.771244,72.52755,53.424713,77.22786
106,2.3186991,2.052799,49.804688,72.55921,53.513622,77.133415
107,2.3126132,2.0327291,49.910324,72.64087,53.91424,77.43766
108,2.3092847,2.0394185,49.98306,72.74883,53.79036,77.48961
109,2.3094888,2.034113,49.992275,72.70199,53.808094,77.30168
110,2.301709,2.025203,50.15313,72.826,53.816338,77.66544
111,2.3021276,2.0362387,50.14621,72.82448,54.170673,77.3758
112,2.2966015,2.031814,50.273712,72.92871,53.71843,77.33775
113,2.289271,2.0225112,50.415215,73.00121,54.17999,77.615486
114,2.285833,2.0063298,50.44908,73.08153,54.352966,77.71635
115,2.2795503,2.0114386,50.595615,73.1991,54.377796,77.83128
116,2.2727525,1.9995055,50.664337,73.34041,54.48769,78.00711
117,2.268182,1.9969782,50.803185,73.40448,54.523235,78.014824
118,2.259198,1.9913944,50.961304,73.53732,54.715473,78.16696
119,2.248867,1.9732467,51.191856,73.718,55.09415,78.48558
