epoch,train_loss,test_loss,train_acc,train_acc_top_k_5,val_acc,val_acc_top_k_5
94,2.7441475,2.4129229,42.06973,65.46344,46.92695,71.49337
95,2.7396288,2.4006739,42.194057,65.529526,47.21154,71.84295
96,2.7371833,2.4112463,42.246895,65.57489,47.268623,71.535324
97,2.7351513,2.3877294,42.309357,65.59339,47.424473,71.908966
98,2.731925,2.391085,42.349915,65.67799,47.171474,71.70673
99,2.7306864,2.3946736,42.417084,65.69807,47.308582,71.74113
100,2.7272758,2.383695,42.451378,65.7231,47.602303,71.92895
101,2.7227397,2.3922071,42.511227,65.80899,47.321716,71.875
102,2.722687,2.3825526,42.497036,65.79101,47.5004,71.90697
103,2.7157257,2.3861835,42.63635,65.8767,47.333733,71.86899
104,2.7143486,2.3853786,42.680073,65.97331,47.628277,71.934944
105,2.713842,2.3747935,42.64103,65.96333,47.65825,72.10877
106,2.709398,2.3779504,42.746506,66.04841,47.620193,72.09535
107,2.7042665,2.3613205,42.91919,66.17796,47.90401,72.384514
108,2.7027192,2.3627024,42.85798,66.1769,47.780132,72.47243
109,2.7001503,2.3733332,42.951267,66.185844,47.860577,72.141426
110,2.6938913,2.346028,43.05741,66.28785,48.08384,72.668236
111,2.6931453,2.3596318,42.997635,66.33209,47.68029,72.29567
112,2.6876607,2.3509066,43.19641,66.408356,48.023895,72.47043
113,2.6812367,2.3466938,43.29552,66.495865,48.36357,72.47443
114,2.677556,2.3452528,43.365696,66.59684,48.327324,72.74039
115,2.6711097,2.3411887,43.47616,66.71108,48.169758,72.65825
116,2.6644044,2.3490205,43.614197,66.80507,48.075848,72.44845
117,2.659113,2.3249807,43.680214,66.916855,48.764023,72.988785
118,2.6463819,2.33517,43.904846,67.12209,48.60134,72.73018
119,2.6343062,2.3062038,44.1464,67.32143,48.94832,73.27524
